,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
0,3,4,3,55,14,4,24,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,0,1,1
1,3,3,3,80,10,5,1,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,0,1,0
2,3,3,3,80,10,2,24,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,0,1,1
3,3,3,3,80,10,3,1,1,21,4,0,5,175,6,0,1,6,6,1,1,1,0,0,1,0
4,3,3,3,80,14,5,24,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,0,1,0
5,3,3,3,80,14,5,1,1,21,4,0,5,175,6,0,1,6,6,1,1,1,0,0,1,0
6,3,3,3,80,14,5,24,1,21,4,0,5,175,6,0,1,6,6,1,1,1,0,0,1,0
7,3,3,3,80,14,4,24,1,21,4,0,5,175,6,0,1,6,6,1,1,1,0,0,1,1
8,3,3,3,80,16,5,1,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,0,1,0
9,3,3,3,80,16,4,1,1,21,4,0,5,175,6,0,1,6,6,1,1,1,0,0,1,1
10,3,3,3,55,14,5,1,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,0,1,0
11,3,3,3,55,14,3,24,1,21,4,0,5,175,6,0,1,6,6,1,1,1,0,0,1,1
12,3,4,3,55,10,5,1,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,0,1,0
13,2,4,3,55,16,2,24,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,1,0,1
14,2,4,3,55,16,1,24,1,21,4,0,5,175,6,0,1,6,6,1,1,1,0,0,1,0
15,2,4,3,80,16,5,1,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,0,1,0
16,1,4,3,55,7,5,1,1,21,4,0,5,175,6,0,1,6,6,1,1,1,1,0,1,0
17,1,4,3,55,7,2,24,1,21,4,0,5,175,6,0,1,6,6,1,1,1,1,0,1,1
18,1,4,3,80,7,1,24,1,21,4,0,5,175,6,0,1,6,6,1,1,1,0,0,1,0
19,1,4,3,80,7,3,1,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,1,0,1
20,1,4,3,55,7,4,24,1,21,4,0,5,175,6,0,1,6,6,1,1,0,0,0,1,1
21,1,4,3,55,7,5,1,1,21,4,0,5,175,6,0,1,6,6,1,1,1,0,0,1,0
22,3,4,3,55,14,4,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,0,1,1
23,3,3,3,80,10,5,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,0,1,1
24,3,3,3,80,10,2,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,0,1,0
25,3,3,3,80,10,3,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,0,0,1,1
26,3,3,3,80,14,5,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,0,1,1
27,3,3,3,80,14,5,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,0,0,1,1
28,3,3,3,80,14,5,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,0,0,1,0
29,3,3,3,80,14,4,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,0,0,1,1
30,3,3,3,80,16,5,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,0,1,0
31,3,3,3,80,16,4,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,0,0,1,1
32,3,3,3,55,14,5,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,0,1,1
33,3,3,3,55,14,3,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,0,0,1,1
34,3,4,3,55,10,5,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,0,1,1
35,2,4,3,55,16,2,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,1,0,0
36,2,4,3,55,16,1,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,0,0,1,0
37,2,4,3,80,16,5,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,0,1,0
38,1,4,3,55,7,5,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,1,0,1,0
39,1,4,3,55,7,2,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,1,0,1,0
40,1,4,3,80,7,1,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,0,0,1,0
41,1,4,3,80,7,3,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,1,0,1
42,1,4,3,55,7,4,24,1,46,4,0,3,1497,2,0,6,2,2,0,1,0,0,0,1,0
43,1,4,3,55,7,5,1,1,46,4,0,3,1497,2,0,6,2,2,0,1,1,0,0,1,0
44,3,4,3,55,14,4,24,1,46,5,1,5,855,7,1,2,2,2,1,1,0,0,0,1,1
45,3,3,3,80,10,5,1,1,46,5,1,5,855,7,1,2,2,2,1,1,0,0,0,1,1
46,3,3,3,80,10,3,1,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
47,3,3,3,80,14,5,1,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
48,3,3,3,80,14,5,24,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
49,3,3,3,80,16,4,1,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
50,3,3,3,55,14,3,24,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
51,3,1,3,80,10,4,1,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
52,3,1,3,80,10,3,1,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
53,3,1,3,80,10,2,24,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
54,3,1,3,80,14,4,24,1,46,5,1,5,855,7,1,2,2,2,1,1,0,0,0,1,1
55,3,1,3,55,14,4,24,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
56,3,1,3,55,16,5,1,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,0
57,2,4,3,55,16,2,24,1,46,5,1,5,855,7,1,2,2,2,1,1,0,0,1,0,1
58,2,4,3,55,16,1,24,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,0
59,2,4,3,80,16,5,1,1,46,5,1,5,855,7,1,2,2,2,1,1,0,0,0,1,1
60,1,4,3,55,7,5,1,1,46,5,1,5,855,7,1,2,2,2,1,1,1,1,0,1,0
61,1,4,3,55,7,2,24,1,46,5,1,5,855,7,1,2,2,2,1,1,1,1,0,1,1
62,1,4,3,80,7,1,24,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,1
63,1,4,3,80,7,3,1,1,46,5,1,5,855,7,1,2,2,2,1,1,0,0,1,0,0
64,1,4,3,55,7,4,24,1,46,5,1,5,855,7,1,2,2,2,1,1,0,0,0,1,1
65,1,4,3,55,7,5,1,1,46,5,1,5,855,7,1,2,2,2,1,1,1,0,0,1,0
66,3,4,3,55,14,4,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,0,1,0
67,3,3,3,80,10,5,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,0,1,1
68,3,3,3,80,10,2,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,0,1,1
69,3,3,3,80,10,3,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,0,0,1,1
70,3,3,3,80,14,5,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,0,1,1
71,3,3,3,80,14,5,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,0,0,1,1
72,3,3,3,80,14,5,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,0,0,1,1
73,3,3,3,80,14,4,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,0,0,1,1
74,3,3,3,80,16,5,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,0,1,1
75,3,3,3,80,16,4,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,0,0,1,1
76,3,3,3,55,14,5,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,0,1,1
77,3,3,3,55,14,3,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,0,0,1,1
78,3,4,3,55,10,5,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,0,1,1
79,2,4,3,55,16,2,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,1,0,1
80,2,4,3,55,16,1,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,0,0,1,1
81,2,4,3,80,16,5,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,0,1,1
82,1,4,3,55,7,5,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,1,0,1,1
83,1,4,3,55,7,2,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,1,0,1,0
84,1,4,3,80,7,1,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,0,0,1,1
85,1,4,3,80,7,3,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,1,0,1
86,1,4,3,55,7,4,24,1,21,4,0,4,1497,2,2,1,2,1,2,1,0,0,0,1,1
87,1,4,3,55,7,5,1,1,21,4,0,4,1497,2,2,1,2,1,2,1,1,0,0,1,1
88,3,4,3,55,14,4,24,1,26,3,0,5,1497,5,2,9,6,2,1,1,0,0,0,1,1
89,3,3,3,80,10,5,1,1,26,3,0,5,1497,5,2,9,6,2,1,1,0,0,0,1,1
90,3,3,3,80,10,2,24,1,26,3,0,5,1497,5,2,9,6,2,1,1,0,0,0,1,1
91,3,3,3,80,10,3,1,1,26,3,0,5,1497,5,2,9,6,2,1,1,1,0,0,1,0
92,3,3,3,80,14,5,24,1,26,3,0,5,1497,5,2,9,6,2,1,1,0,0,0,1,1
93,3,3,3,80,14,5,1,1,26,3,0,5,1497,5,2,9,6,2,1,1,1,0,0,1,0
94,3,3,3,80,14,5,24,1,26,3,0,5,1497,5,2,9,6,2,1,1,1,0,0,1,1
95,3,3,3,80,14,4,24,1,26,3,0,5,1497,5,2,9,6,2,1,1,1,0,0,1,1
96,3,3,3,80,16,5,1,1,26,3,0,5,1497,5,2,9,6,2,1,1,0,0,0,1,0
97,3,3,3,80,16,4,1,1,26,3,0,5,1497,5,2,9,6,2,1,1,1,0,0,1,0
98,3,3,3,55,14,5,1,1,26,3,0,5,1497,5,2,9,6,2,1,1,0,0,0,1,0
99,3,3,3,55,14,3,24,1,26,3,0,5,1497,5,2,9,6,2,1,1,1,0,0,1,1
100,3,4,3,55,10,5,1,1,26,3,0,5,1497,5,2,9,6,2,1,1,0,0,0,1,0
